sym,date,year,gap%,reason,pnl_BT,win_BT,pnl_MarketOpen,win_MarketOpen,pnl_Limit,win_Limit,pnl_Intraday,win_Intraday
HWM,2024-01-05,2024,-0.56,target,3.31,True,2.85,True,2.28,True,3.14,True
DELL,2024-01-08,2024,-0.24,timeout,5.71,True,4.9,True,4.65,True,5.55,True
HWM,2024-01-10,2024,0.2,timeout,7.64,True,6.36,True,6.57,True,7.12,True
CRM,2024-01-11,2024,-0.06,timeout,8.42,True,7.4,True,7.34,True,8.01,True
WDAY,2024-01-12,2024,-0.25,target,8.81,True,8.0,True,7.72,True,8.54,True
VZ,2024-01-16,2024,-1.45,target,6.72,True,7.21,True,5.65,True,6.62,True
CBOE,2024-01-17,2024,0.14,timeout,-0.27,False,-1.41,False,-1.27,False,-0.43,False
TMUS,2024-01-17,2024,-1.0,timeout,-0.74,False,-0.74,False,-1.73,False,-1.39,False
JPM,2024-01-19,2024,0.09,target,4.57,True,3.43,True,3.52,True,4.37,True
DDOG,2024-01-19,2024,2.37,timeout,0.57,True,-2.74,False,,,0.43,True
APO,2024-01-19,2024,0.39,target,14.2,True,12.61,True,13.06,True,14.11,True
QCOM,2024-01-19,2024,0.52,timeout,1.5,True,-0.04,False,0.48,True,2.06,True
CDNS,2024-01-19,2024,1.31,timeout,0.37,True,-1.91,False,,,1.48,True
VRT,2024-01-19,2024,1.55,timeout,18.51,True,15.54,True,17.33,True,18.62,True
PHM,2024-01-22,2024,-2.71,stop,-5.88,False,-4.23,False,-6.83,False,-5.81,False
ITW,2024-01-23,2024,0.54,below_sma,-2.55,False,-4.04,False,-3.52,False,-3.04,False
STX,2024-01-23,2024,1.0,timeout,-3.89,False,-5.79,False,-4.85,False,-3.95,False
AME,2024-01-23,2024,0.75,target,2.88,True,1.09,True,1.85,True,2.31,True
APH,2024-01-25,2024,0.0,target,5.61,True,4.55,True,4.55,True,5.28,True
COF,2024-01-26,2024,0.66,timeout,-1.63,False,-3.26,False,-2.62,False,-0.4,False
CTAS,2024-02-01,2024,-0.2,timeout,3.01,True,2.18,True,1.98,True,2.88,True
FTV,2024-02-01,2024,0.16,timeout,5.3,True,4.08,True,4.25,True,6.53,True
TSCO,2024-02-01,2024,-0.35,timeout,9.04,True,8.34,True,7.95,True,10.21,True
NSC,2024-02-01,2024,-0.62,timeout,1.9,True,1.51,True,0.89,True,1.87,True
IBKR,2024-02-02,2024,-0.14,timeout,16.81,True,15.79,True,15.64,True,18.54,True
AMZN,2024-02-02,2024,-0.94,timeout,4.4,True,4.34,True,3.36,True,4.15,True
GDDY,2024-02-05,2024,-0.16,target,3.51,True,2.65,True,2.48,True,3.42,True
PTC,2024-02-07,2024,0.28,stop,-2.26,False,-3.51,False,-3.24,False,-2.72,False
ALLE,2024-02-09,2024,-0.18,timeout,0.34,True,-0.48,False,-0.66,False,-0.01,False
AME,2024-02-14,2024,0.46,timeout,5.96,True,4.42,True,4.9,True,6.31,True
PRU,2024-02-15,2024,-0.51,timeout,5.55,True,5.03,True,4.49,True,5.5,True
UHS,2024-02-29,2024,0.0,target,6.54,True,5.48,True,5.48,True,6.73,True
TMO,2024-03-01,2024,-0.16,target,5.37,True,4.48,True,4.32,True,5.39,True
MU,2024-03-01,2024,1.87,target,22.1,True,18.66,True,20.88,True,22.97,True
ISRG,2024-03-01,2024,0.1,stop,-3.58,False,-4.64,False,-4.54,False,-2.78,False
TROW,2024-03-04,2024,-0.63,timeout,3.84,True,3.46,True,2.8,True,3.57,True
TMO,2024-03-04,2024,-0.09,timeout,-0.68,False,-1.58,False,-1.67,False,-1.14,False
HCA,2024-03-06,2024,0.59,timeout,1.77,True,0.16,True,,,1.71,True
ALLE,2024-03-07,2024,0.47,timeout,1.69,True,0.2,True,0.67,True,1.65,True
CB,2024-03-11,2024,-0.05,below_sma,-1.43,False,-2.36,False,-2.41,False,-1.15,False
