symbol,date,daily_entry,daily_sl,daily_pnl,daily_win,pre_consol_atr,pre_tight,hourly_confirmed,hours_to_confirm,hourly_entry,entry_improvement,sl_hourly
WFC,2025-10-14,82.87,76.23,3.5,True,3.66,False,True,0.0,84.16,-1.56,
INCY,2025-10-15,87.27,81.26,10.33,True,2.38,False,True,0.0,86.91,0.41,
AAPL,2025-10-20,259.12,232.42,3.12,True,2.53,False,True,0.0,259.51,-0.15,
VLO,2025-10-23,169.29,147.59,0.29,True,1.42,True,True,0.0,172.19,-1.71,
MPC,2025-10-23,192.07,172.9,-2.67,False,1.6,False,True,0.0,195.1,-1.58,
APA,2025-10-23,24.14,21.03,-7.52,False,2.04,False,True,0.0,24.19,-0.21,
LVS,2025-10-23,55.8,48.95,18.41,True,1.66,False,True,0.0,56.37,-1.02,
VLO,2025-11-06,172.11,153.58,0.57,True,1.24,True,True,0.0,177.69,-3.24,
APTV,2025-11-07,82.82,80.09,-0.32,False,1.86,False,True,0.0,83.39,-0.68,81.49
XOM,2025-11-07,114.28,108.91,0.82,True,1.22,True,True,0.0,117.2,-2.56,
VLO,2025-11-14,177.73,156.46,-6.1,False,2.52,False,True,0.0,179.77,-1.15,
PODD,2025-11-19,342.9,305.46,-8.75,False,3.05,False,True,0.0,341.73,0.34,
WST,2025-11-21,268.11,255.7,0.27,True,2.97,False,True,0.0,271.07,-1.1,263.15
AAPL,2025-11-21,268.52,249.49,0.82,True,1.86,False,True,0.0,269.85,-0.49,
MMM,2025-11-24,167.11,153.37,-3.39,False,2.51,False,True,0.0,169.69,-1.54,167.2
CRWD,2025-12-03,518.93,481.59,-2.73,False,2.94,False,True,0.0,524.48,-1.07,501.07
UNP,2025-12-10,231.89,218.5,-3.7,False,2.69,False,True,0.0,236.59,-2.03,231.39
NSC,2025-12-11,289.84,280.07,-2.41,False,1.81,False,True,0.0,294.09,-1.47,291.5
DHR,2025-12-11,229.24,210.46,4.04,True,1.86,False,True,0.0,230.92,-0.73,
AME,2025-12-11,201.48,185.96,3.94,True,2.56,False,True,0.0,201.74,-0.13,
CAH,2025-12-15,196.99,180.92,8.15,True,2.07,False,True,0.0,199.7,-1.38,
JCI,2025-12-15,115.36,109.79,-4.83,False,1.35,True,True,16.5,118.77,-2.96,115.74
EW,2025-12-16,84.47,78.82,-1.72,False,2.85,False,True,0.0,84.17,0.35,
GILD,2025-12-17,119.47,115.93,4.45,True,3.43,False,True,0.0,121.83,-1.98,118.34
UHS,2025-12-17,222.43,213.15,-2.08,False,1.87,False,True,0.0,224.91,-1.11,222.49
NDAQ,2025-12-18,93.47,85.93,3.89,True,2.29,False,True,0.0,94.68,-1.3,
MCK,2025-12-19,811.37,798.69,2.34,True,1.94,False,True,0.0,821.43,-1.24,
IDXX,2025-12-19,693.34,661.31,-1.59,False,1.33,True,True,0.0,699.83,-0.94,
WST,2025-12-19,269.57,262.76,5.08,True,1.88,False,True,0.0,270.7,-0.42,
L,2025-12-19,105.45,100.51,-2.6,False,1.59,False,True,0.0,106.5,-1.0,
MTB,2025-12-19,202.35,181.06,7.56,True,1.79,False,True,0.0,205.82,-1.71,203.4
RTX,2025-12-19,179.59,166.36,11.05,True,2.38,False,True,0.0,181.06,-0.82,
SCHW,2025-12-19,97.5,90.82,4.05,True,2.09,False,True,0.0,98.38,-0.9,
BIIB,2025-12-19,173.05,154.74,-2.16,False,1.96,False,True,0.0,174.12,-0.62,
REGN,2025-12-19,759.37,647.0,-1.44,False,2.32,False,True,0.0,762.62,-0.43,
NDSN,2025-12-19,237.25,224.83,7.85,True,2.15,False,True,0.0,241.43,-1.76,
RF,2025-12-19,27.12,24.04,4.63,True,1.18,True,True,0.0,27.63,-1.87,
ABBV,2025-12-19,222.76,217.67,-2.28,False,2.0,False,True,0.0,226.38,-1.63,
UHS,2025-12-19,224.97,214.61,-3.18,False,1.78,False,True,0.0,227.64,-1.19,
HWM,2025-12-19,201.34,189.61,8.74,True,2.23,False,True,0.0,200.82,0.26,
FTV,2025-12-19,54.3,50.14,-3.06,False,1.28,True,True,0.0,54.99,-1.27,
CRL,2025-12-19,195.09,170.89,16.24,True,1.5,False,True,0.0,196.92,-0.94,
GD,2025-12-19,333.05,329.22,2.67,True,1.69,False,True,0.0,339.13,-1.82,
GILD,2025-12-19,122.35,116.03,-3.86,False,1.7,False,True,0.0,125.07,-2.23,
INCY,2026-01-06,105.59,95.81,-5.23,False,2.78,False,True,0.0,104.28,1.24,
MMM,2026-01-12,165.52,159.71,-3.51,False,4.28,False,True,16.5,169.15,-2.19,165.5
JNJ,2026-01-13,210.4,195.38,10.71,True,1.74,False,True,0.0,212.79,-1.14,
CTRA,2026-01-14,24.92,24.83,-0.38,False,2.01,False,True,0.0,25.46,-2.15,
CTRA,2026-01-15,25.29,24.27,6.01,True,4.83,False,True,0.0,25.48,-0.74,
PFE,2026-01-15,25.21,24.1,6.61,True,3.84,False,True,112.5,25.53,-1.27,25.04
