symbol,date,entry,sl,tp,exit,exit_reason,hold_days,pnl_pct,risk_pct,win,year,month
ABBV,2023-10-12,137.13,134.24,142.92,136.14,below_sma,2,-0.72,2.11,False,2023,2023-10
AMD,2026-01-02,223.47,216.68,237.05,221.08,below_sma,1,-1.07,3.04,False,2026,2026-01
ABNB,2023-08-29,132.25,129.94,136.87,129.94,stop,1,-1.75,1.75,False,2023,2023-08
AKAM,2023-11-02,105.27,102.91,109.99,109.99,target,3,4.49,2.24,True,2023,2023-11
ALGN,2024-04-23,311.88,296.7,342.23,304.82,below_sma,4,-2.26,4.87,False,2024,2024-04
MO,2025-10-10,64.27,61.24,70.32,62.07,below_sma,4,-3.43,4.71,False,2025,2025-10
APH,2024-04-16,55.39,52.31,61.55,61.55,target,15,11.12,5.56,True,2024,2024-04
ADI,2024-06-28,222.04,205.13,255.85,218.5,below_sma,17,-1.59,7.61,False,2024,2024-06
APA,2023-10-13,37.3,36.35,39.21,39.21,target,4,5.12,2.56,True,2023,2023-10
APTV,2023-03-31,112.19,108.65,119.27,110.49,below_sma,1,-1.52,3.15,False,2023,2023-03
ARES,2023-03-22,72.31,68.84,79.25,72.52,below_sma,10,0.29,4.8,True,2023,2023-03
ANET,2023-10-04,46.51,43.76,51.99,43.76,stop,16,-5.9,5.9,False,2023,2023-10
ADP,2023-10-06,232.52,227.53,242.48,228.08,below_sma,10,-1.91,2.14,False,2023,2023-10
AXON,2023-05-03,220.88,208.07,246.49,208.07,stop,5,-5.8,5.8,False,2023,2023-05
AXON,2024-04-30,313.66,293.88,353.22,303.43,below_sma,8,-3.26,6.31,False,2024,2024-04
BALL,2026-03-12,61.69,58.4,68.27,59.9,below_sma,4,-2.9,5.33,False,2026,2026-03
BDX,2026-01-30,158.95,149.02,178.82,178.82,target,8,12.5,6.25,True,2026,2026-01
XYZ,2024-02-06,67.0,64.24,72.52,66.88,below_sma,3,-0.18,4.12,False,2024,2024-02
BK,2025-03-07,84.07,78.4,95.41,79.38,below_sma,2,-5.58,6.74,False,2025,2025-03
BSX,2025-03-25,103.08,98.14,112.97,98.14,stop,3,-4.8,4.8,False,2025,2025-03
BR,2023-10-06,172.42,169.05,179.18,170.5,below_sma,5,-1.12,1.96,False,2023,2023-10
CAH,2026-03-12,218.56,207.42,240.85,211.36,below_sma,4,-3.3,5.1,False,2026,2026-03
CBOE,2023-12-13,174.9,162.81,199.09,169.67,below_sma,15,-2.99,6.91,False,2023,2023-12
CBOE,2024-10-15,208.16,198.99,226.5,198.99,stop,16,-4.41,4.41,False,2024,2024-10
COR,2025-05-30,289.72,274.07,321.04,298.29,timeout,20,2.96,5.4,True,2025,2025-05
CHTR,2024-09-18,339.64,326.56,365.8,331.34,below_sma,1,-2.44,3.85,False,2024,2024-09
CMG,2024-06-12,63.42,59.76,70.73,61.81,below_sma,12,-2.53,5.76,False,2024,2024-06
CB,2025-05-15,290.21,277.67,315.3,284.3,below_sma,6,-2.04,4.32,False,2025,2025-05
CB,2026-01-30,308.65,295.74,334.47,334.47,target,6,8.37,4.18,True,2026,2026-01
CFG,2026-02-26,63.86,59.38,72.83,60.19,below_sma,1,-5.75,7.02,False,2026,2026-02
CME,2023-10-03,179.22,176.13,185.4,185.4,target,3,3.45,1.72,True,2023,2023-10
CTSH,2023-09-25,66.91,65.16,70.41,65.86,below_sma,1,-1.56,2.62,False,2023,2023-09
COHR,2024-05-06,57.92,54.49,64.79,55.3,below_sma,1,-4.52,5.93,False,2024,2024-05
GLW,2025-12-04,85.29,79.95,95.98,95.98,target,5,12.53,6.27,True,2025,2025-12
CPAY,2026-03-09,325.6,303.83,369.14,317.53,below_sma,4,-2.48,6.69,False,2026,2026-03
DDOG,2025-02-12,148.09,140.35,163.56,140.35,stop,1,-5.22,5.22,False,2025,2025-02
DECK,2024-01-02,112.33,103.46,130.07,125.62,timeout,20,11.83,7.89,True,2024,2024-01
DAL,2026-01-29,66.36,64.13,70.81,65.71,below_sma,1,-0.98,3.35,False,2026,2026-01
DAL,2026-02-02,68.89,64.34,77.99,67.26,below_sma,12,-2.37,6.6,False,2026,2026-02
DASH,2025-01-06,175.02,164.5,196.06,168.37,below_sma,4,-3.8,6.01,False,2025,2025-01
DASH,2025-01-17,174.48,166.7,190.05,190.05,target,10,8.92,4.46,True,2025,2025-01
DOV,2026-01-02,195.3,182.53,220.84,206.85,timeout,20,5.91,6.54,True,2026,2026-01
DHI,2023-03-08,91.06,88.23,96.72,94.55,timeout,20,3.84,3.11,True,2023,2023-03
DHI,2024-10-15,186.2,176.6,205.39,176.6,stop,5,-5.15,5.15,False,2024,2024-10
ETN,2023-10-12,211.15,205.43,222.57,205.43,stop,1,-2.71,2.71,False,2023,2023-10
EBAY,2025-10-17,91.38,88.13,97.88,97.88,target,5,7.11,3.56,True,2025,2025-10
SATS,2025-11-24,70.92,68.31,76.14,71.0,below_sma,1,0.11,3.68,True,2025,2025-11
EA,2025-12-01,202.24,196.65,213.41,204.16,timeout,20,0.95,2.76,True,2025,2025-12
EA,2025-12-19,203.73,200.17,210.84,203.96,timeout,20,0.11,1.75,True,2025,2025-12
FFIV,2023-09-28,161.27,154.4,175.0,154.4,stop,4,-4.26,4.26,False,2023,2023-09
FDX,2026-03-19,356.11,333.8,400.73,343.97,below_sma,6,-3.41,6.26,False,2026,2026-03
FITB,2024-02-29,31.64,30.44,34.05,34.05,target,7,7.61,3.8,True,2024,2024-02
GEHC,2024-04-29,88.64,85.7,94.5,85.7,stop,1,-3.31,3.31,False,2024,2024-04
GEHC,2026-02-20,84.19,78.39,95.8,80.12,below_sma,6,-4.83,6.89,False,2026,2026-02
GEV,2025-09-19,623.07,578.52,712.19,606.45,below_sma,4,-2.67,7.15,False,2025,2025-09
GNRC,2025-10-14,183.82,173.02,205.41,173.02,stop,11,-5.87,5.87,False,2025,2025-10
GM,2026-02-25,82.24,78.43,89.85,80.6,below_sma,1,-1.99,4.63,False,2026,2026-02
HWM,2024-04-26,66.04,63.31,71.51,71.51,target,4,8.28,4.14,True,2024,2024-04
HWM,2024-07-22,79.86,78.05,83.49,79.21,below_sma,2,-0.82,2.27,False,2024,2024-07
ITW,2026-02-27,288.8,258.31,349.78,263.95,below_sma,9,-8.61,10.56,False,2026,2026-02
IR,2024-04-24,92.33,88.09,100.81,88.09,stop,7,-4.59,4.59,False,2024,2024-04
J,2023-10-04,109.18,103.8,119.94,107.44,below_sma,11,-1.59,4.93,False,2023,2023-10
