symbol,type,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
MMM,B,2017-11-30,151.4106930541992,148.0525665283203,145.80706935150957,168.22156416226815,3.0,3.7009431696371426,-2.2178925795398223,False,timeout,20,2017
MMM,B,2017-12-13,148.90109985351563,147.39756440035384,147.39756440035384,153.6257131699897,3.1423358235674868,1.009754430720069,-1.009754430720069,False,stop,7,2017
MMM,B,2021-03-15,130.9385124206543,137.1403045654297,125.83038852622035,146.26288410395614,3.0000000000000027,3.901162308934394,4.736415612277205,True,timeout,20,2021
AOS,B,2016-04-18,33.37016109466553,32.6813917380293,32.6813917380293,35.43646916457421,3.0,2.064027664362501,-2.064027664362501,False,stop,7,2016
AOS,B,2016-05-24,34.895245399475094,36.03308868408203,33.37734324136325,39.44895187381063,3.0,4.349882457438393,3.260740171278615,True,timeout,20,2016
AOS,B,2016-06-07,35.23567497253418,36.36585402558683,34.48222227049908,36.36585402558683,1.5000000000000047,2.1383234537791767,3.207485180668775,True,target,9,2016
AOS,B,2016-08-29,40.71522285461426,39.95609581407825,39.95609581407825,42.992603976222284,3.0,1.8644796400763795,-1.8644796400763795,False,stop,8,2016
AOS,B,2017-06-02,47.79126583099365,48.342655181884766,45.94376075776403,53.33378105068251,3.0,3.8657797426061755,1.1537450228688568,True,timeout,20,2017
ABT,B,2017-09-08,44.30397285461426,46.247871185723085,43.65600674424465,46.247871185723085,3.0,1.4625462878824493,4.387638863647348,True,target,14,2017
ABT,B,2018-07-24,55.89624126434326,56.76769256591797,54.635858534028905,57.786815359814796,1.5000000000000029,2.2548613320058157,1.5590517034114344,True,timeout,20,2018
ABT,B,2019-02-15,65.8861873626709,67.74076713619773,64.64980084698634,67.74076713619773,1.5,1.8765488870662088,2.814823330599313,True,target,5,2019
ABBV,B,2017-05-15,45.774946746826174,47.67077513238334,44.51106115645473,47.67077513238334,1.5,2.761085878180899,4.141628817271348,True,target,16,2017
ABBV,B,2017-09-06,53.37727088928223,57.78589588265674,51.90772922482406,57.78589588265674,3.0,2.7531225182088566,8.25936755462657,True,target,2,2017
ABBV,B,2021-01-13,90.87627021789551,86.45292598115269,86.45292598115269,104.14630292812397,3.0,4.867435939147697,-4.867435939147697,False,stop,9,2021
ABBV,B,2024-03-19,166.04189483642577,164.3783293522804,164.3783293522804,170.73440711854622,2.820755976751418,1.0018950252189196,-1.0018950252189196,False,stop,1,2024
ABBV,B,2025-02-28,200.22296813964843,192.9147221016633,192.9147221016633,222.14770625360381,3.0,3.6500537904761683,-3.6500537904761683,False,stop,17,2025
ACN,B,2017-06-12,109.12119255065917,110.83432582496563,108.45741353441309,110.83432582496563,2.580878925632308,0.6082952364527398,1.5699363563233977,True,target,1,2017
ACN,B,2017-08-01,112.19700393676757,113.15574645996094,110.53784472349132,117.17448157659634,3.0,1.4787910149644725,0.8545170455119256,True,timeout,20,2017
ACN,B,2017-08-31,112.9745654296875,117.5576585964701,111.44686770742663,117.5576585964701,3.0,1.3522492575655607,4.056747772696682,True,target,4,2017
ACN,B,2017-09-07,115.98122817993163,118.88072967529297,111.98315408038928,127.97545047855868,3.0,3.447173445464636,2.4999748156340345,True,timeout,20,2017
