symbol,date,entry,sl,tp,tp_rr,risk_pct,exit_fixed,reason_fixed,days_fixed,pnl_fixed,win_fixed,exit_tight,reason_tight,days_tight,pnl_tight,win_tight,exit_wide,reason_wide,days_wide,pnl_wide,win_wide
ABT,2024-10-07,110.17,106.83,115.19,1.5,3.03,115.19,target,6,4.55,True,115.19,target,6,4.55,True,115.19,target,6,4.55,True
ABT,2024-11-18,114.6,109.45,122.32,1.5,4.49,112.19,below_sma,14,-2.1,False,114.88,trail,9,0.24,True,113.15,trail,11,-1.26,False
ABT,2025-10-15,128.8,126.83,134.17,2.74,1.52,126.83,stop,1,-1.52,False,126.83,stop,1,-1.52,False,126.83,stop,1,-1.52,False
ABBV,2024-07-25,173.23,151.02,239.84,3.0,12.82,183.91,timeout,30,6.16,True,176.82,trail,7,2.07,True,183.28,trail,29,5.8,True
ABBV,2024-09-03,187.99,168.65,245.98,3.0,10.28,183.9,timeout,30,-2.17,False,185.85,trail,2,-1.14,False,183.04,trail,2,-2.63,False
ABBV,2025-02-28,202.25,171.25,295.24,3.0,15.33,180.89,below_sma,25,-10.56,False,202.09,trail,2,-0.08,False,201.5,trail,16,-0.37,False
ABBV,2025-12-19,225.01,217.67,236.02,1.5,3.26,217.67,stop,9,-3.26,False,225.29,trail,8,0.13,True,222.04,trail,9,-1.32,False
ABBV,2026-02-04,217.11,211.73,229.79,2.36,2.48,219.02,below_sma,1,0.88,True,229.79,target,7,5.84,True,229.79,target,7,5.84,True
ABBV,2026-02-12,227.5,212.53,249.95,1.5,6.58,219.68,below_sma,20,-3.44,False,225.67,trail,4,-0.81,False,223.24,trail,20,-1.87,False
AMD,2023-05-16,101.48,85.17,150.41,3.0,16.07,111.24,timeout,30,9.62,True,122.12,trail,10,20.34,True,117.74,trail,13,16.02,True
AMD,2023-08-01,117.6,109.58,129.64,1.5,6.82,109.58,stop,1,-6.82,False,111.75,trail,1,-4.97,False,109.58,stop,1,-6.82,False
AFL,2023-09-07,70.76,67.53,75.61,1.5,4.57,75.61,target,24,6.85,True,71.99,trail,7,1.74,True,71.45,trail,18,0.98,True
AFL,2023-12-12,80.37,74.78,97.13,3.0,6.95,76.75,below_sma,18,-4.51,False,79.1,trail,2,-1.58,False,78.07,trail,2,-2.85,False
A,2024-02-06,133.54,124.99,146.37,1.5,6.41,127.55,below_sma,5,-4.49,False,129.8,trail,4,-2.8,False,126.62,trail,5,-5.18,False
A,2024-05-06,138.44,134.6,145.15,1.75,2.77,145.15,target,4,4.85,True,144.87,trail,4,4.65,True,145.15,target,4,4.85,True
ALLE,2024-02-01,123.96,110.53,164.23,3.0,10.83,127.5,timeout,30,2.86,True,121.2,trail,2,-2.22,False,124.5,trail,14,0.44,True
ALLE,2024-02-08,127.16,112.68,170.61,3.0,11.39,131.15,timeout,30,3.13,True,126.66,trail,3,-0.39,False,124.5,trail,9,-2.09,False
ALLE,2024-08-30,136.31,121.24,158.91,1.5,11.05,147.23,timeout,30,8.01,True,133.59,trail,3,-2.0,False,131.16,trail,7,-3.78,False
ALLE,2025-06-23,141.91,132.77,155.62,1.5,6.44,155.62,target,22,9.66,True,144.32,trail,6,1.7,True,146.36,trail,15,3.14,True
