symbol,date,entry,sl,tp,exit,exit_reason,hold_days,pnl_pct,risk_pct,win
AOS,2025-09-19,72.34,68.7,79.6,70.67,below_sma,12,-2.31,5.02,False
AMD,2026-01-02,223.47,216.68,237.05,221.08,below_sma,1,-1.07,3.04,False
ALL,2025-05-30,205.82,191.04,235.37,193.54,below_sma,7,-5.97,7.18,False
ALL,2026-02-04,206.08,196.65,224.93,198.93,below_sma,3,-3.47,4.57,False
AMP,2025-01-08,526.61,523.41,533.0,523.41,stop,1,-0.61,0.61,False
APH,2025-08-26,109.32,98.74,130.48,122.65,timeout,20,12.19,9.68,True
APH,2026-01-12,144.82,129.68,175.12,129.68,stop,16,-10.46,10.46,False
AMAT,2026-01-02,268.54,234.48,336.65,336.65,target,17,25.37,12.68,True
ACGL,2026-01-26,93.7,90.96,99.18,99.18,target,7,5.85,2.92,True
ACGL,2026-02-12,99.85,90.64,118.28,94.81,below_sma,18,-5.05,9.23,False
ARES,2025-01-03,173.87,160.06,201.5,187.55,timeout,20,7.87,7.94,True
ARES,2025-08-18,184.37,167.09,218.92,172.24,below_sma,11,-6.58,9.37,False
ARES,2025-08-22,176.38,167.51,194.13,172.24,below_sma,7,-2.35,5.03,False
ANET,2026-03-16,135.35,125.94,154.18,131.22,below_sma,4,-3.05,6.96,False
AJG,2025-05-30,344.03,321.24,389.61,324.88,below_sma,4,-5.57,6.62,False
ADP,2025-02-25,304.06,284.32,343.56,284.32,stop,10,-6.49,6.49,False
ADP,2025-05-27,317.72,288.11,376.94,292.33,below_sma,20,-7.99,9.32,False
ADP,2025-05-30,317.54,290.15,372.34,292.33,below_sma,17,-7.94,8.63,False
BKR,2025-09-10,46.52,40.9,57.78,47.44,timeout,20,1.98,12.1,True
BKR,2025-11-18,47.88,44.97,53.7,46.68,below_sma,17,-2.5,6.08,False
BAC,2025-01-27,45.77,43.11,51.07,44.03,below_sma,17,-3.8,5.8,False
BAC,2025-10-24,52.0,48.09,59.84,50.45,below_sma,19,-2.99,7.54,False
BAC,2025-11-12,53.53,49.45,61.68,50.45,below_sma,6,-5.75,7.62,False
BLK,2025-01-31,1048.06,967.98,1208.22,980.94,below_sma,4,-6.4,7.64,False
BLK,2025-08-26,1122.7,1045.83,1276.43,1116.3,timeout,20,-0.57,6.85,False
BLK,2025-09-11,1122.44,1067.3,1232.72,1155.34,timeout,20,2.93,4.91,True
BLK,2025-09-25,1135.41,1079.17,1247.9,1113.35,below_sma,20,-1.94,4.95,False
BLK,2025-10-06,1167.06,1083.49,1334.21,1113.35,below_sma,13,-4.6,7.16,False
BX,2025-09-10,174.63,158.41,207.08,167.4,below_sma,14,-4.14,9.29,False
XYZ,2025-09-15,74.63,71.7,80.49,73.68,below_sma,8,-1.27,3.93,False
BSX,2025-03-25,103.08,98.14,112.97,98.14,stop,3,-4.8,4.8,False
AVGO,2025-08-26,296.31,269.04,350.86,350.86,target,7,18.41,9.2,True
BR,2025-01-02,222.08,215.57,235.09,215.57,stop,5,-2.93,2.93,False
BR,2025-02-28,236.16,222.74,263.01,222.74,stop,7,-5.68,5.68,False
BR,2025-05-30,238.67,226.96,262.1,239.74,timeout,20,0.45,4.91,True
CDNS,2025-07-03,326.81,290.79,398.85,356.97,timeout,20,9.23,11.02,True
CAT,2025-12-19,574.87,532.23,660.16,645.38,timeout,20,12.26,7.42,True
CAT,2026-01-02,597.01,549.45,692.14,690.91,timeout,20,15.73,7.97,True
CAT,2026-04-08,771.58,674.58,965.58,790.66,timeout,2,2.47,12.57,True
COR,2025-01-14,237.8,229.42,254.57,254.57,target,10,7.05,3.52,True
COR,2025-01-27,252.51,229.85,297.81,248.75,timeout,20,-1.49,8.97,False
COR,2025-05-30,289.72,274.07,321.04,298.29,timeout,20,2.96,5.4,True
COR,2025-06-26,295.04,279.52,326.07,288.85,below_sma,20,-2.1,5.26,False
COR,2026-01-05,340.34,339.35,342.3,342.3,target,1,0.58,0.29,True
CRL,2025-12-19,197.06,170.89,249.4,226.77,timeout,20,15.08,13.28,True
CHTR,2025-06-20,386.37,369.49,420.13,420.13,target,9,8.74,4.37,True
CB,2025-05-15,290.21,277.67,315.3,284.3,below_sma,6,-2.04,4.32,False
CB,2025-05-27,287.91,280.27,303.18,283.81,below_sma,11,-1.42,2.65,False
CB,2026-01-30,308.65,295.74,334.47,334.47,target,6,8.37,4.18,True
COHR,2025-01-02,100.59,93.77,114.22,97.43,below_sma,3,-3.14,6.78,False
CPRT,2025-01-08,56.78,56.69,56.97,56.69,stop,1,-0.16,0.16,False
CPAY,2025-01-27,379.49,351.45,435.57,370.53,timeout,20,-2.36,7.39,False
CPAY,2025-02-05,388.67,352.92,460.17,352.92,stop,18,-9.2,9.2,False
CPAY,2026-03-09,325.6,303.83,369.14,317.53,below_sma,4,-2.48,6.69,False
COST,2025-01-10,930.8,910.91,970.59,918.64,below_sma,1,-1.31,2.14,False
COST,2025-01-17,937.01,915.77,979.51,935.99,below_sma,3,-0.11,2.27,False
COST,2025-01-27,958.93,917.52,1041.74,1041.74,target,8,8.64,4.32,True
CRH,2026-02-10,128.7,119.37,147.34,122.42,below_sma,2,-4.88,7.24,False
CMI,2025-09-10,402.18,357.54,491.44,433.02,timeout,20,7.67,11.1,True
CMI,2025-10-29,437.89,392.4,528.87,495.44,timeout,20,13.14,10.39,True
DDOG,2025-02-12,148.09,140.35,163.56,140.35,stop,1,-5.22,5.22,False
DECK,2025-01-21,214.11,188.02,266.28,188.02,stop,8,-12.18,12.18,False
DELL,2025-08-28,132.99,122.54,153.89,122.54,stop,1,-7.86,7.86,False
DELL,2025-09-17,129.31,122.26,143.42,143.42,target,10,10.91,5.46,True
DELL,2025-09-30,140.65,123.04,175.87,164.16,timeout,20,16.72,12.52,True
DAL,2025-01-21,67.35,58.6,84.83,64.09,timeout,20,-4.83,12.98,False
DAL,2026-01-29,66.36,64.13,70.81,65.71,below_sma,1,-0.98,3.35,False
DAL,2026-02-02,68.89,64.34,77.99,67.26,below_sma,12,-2.37,6.6,False
DASH,2025-01-06,175.02,164.5,196.06,168.37,below_sma,4,-3.8,6.01,False
DASH,2025-01-17,174.48,166.7,190.05,190.05,target,10,8.92,4.46,True
DASH,2025-09-29,272.5,242.53,332.44,252.31,below_sma,17,-7.41,11.0,False
DASH,2025-10-06,281.74,244.4,356.42,252.31,below_sma,12,-10.45,13.25,False
DOV,2026-01-02,195.3,182.53,220.84,206.85,timeout,20,5.91,6.54,True
DOV,2026-03-17,213.82,205.06,231.33,211.49,below_sma,2,-1.09,4.1,False
DD,2025-09-04,31.99,29.49,36.98,33.58,timeout,20,4.98,7.8,True
ECL,2026-01-26,282.91,259.24,330.25,307.34,timeout,20,8.63,8.37,True
EXE,2025-01-02,97.59,87.55,117.69,99.18,timeout,20,1.63,10.29,True
EXE,2025-01-06,97.86,88.11,117.37,101.33,timeout,20,3.54,9.97,True
EXE,2025-05-30,113.2,102.34,134.91,113.99,timeout,20,0.7,9.59,True
EXE,2026-01-26,111.75,105.49,124.28,108.23,below_sma,1,-3.15,5.61,False
EXPD,2025-09-02,120.22,113.4,133.84,121.95,timeout,20,1.44,5.67,True
EXPD,2026-02-20,156.3,147.23,174.44,149.63,below_sma,1,-4.27,5.8,False
FAST,2025-05-12,39.46,36.78,44.82,42.07,timeout,20,6.6,6.79,True
FAST,2025-05-30,40.71,37.85,46.43,41.36,timeout,20,1.6,7.03,True
FITB,2025-08-22,43.63,39.55,51.78,43.78,timeout,20,0.36,9.34,True
FOX,2025-10-30,58.52,51.2,73.15,57.95,timeout,20,-0.97,12.51,False
GRMN,2025-08-28,238.21,214.11,286.41,238.54,timeout,20,0.14,10.12,True
GM,2025-07-31,52.97,47.54,63.83,58.09,timeout,20,9.66,10.25,True
GM,2025-10-14,56.9,54.91,60.89,60.89,target,5,7.0,3.5,True
GM,2025-11-19,68.2,60.38,83.85,80.98,timeout,20,18.73,11.47,True
GM,2026-02-25,82.24,78.43,89.85,80.6,below_sma,1,-1.99,4.63,False
GDDY,2025-01-28,214.35,192.4,258.25,192.4,stop,13,-10.24,10.24,False
GS,2025-06-18,625.45,542.97,790.4,697.34,timeout,20,11.49,13.19,True
GS,2025-08-12,731.92,650.61,894.55,761.77,timeout,20,4.08,11.11,True
GS,2025-08-22,730.46,669.1,853.16,797.39,timeout,20,9.16,8.4,True
GS,2025-10-24,775.93,728.28,871.24,766.18,timeout,20,-1.26,6.14,False
GS,2025-11-12,830.46,742.99,1005.4,906.26,timeout,20,9.13,10.53,True
HSY,2025-09-16,190.72,171.39,229.38,186.76,timeout,20,-2.08,10.14,False
HSY,2025-10-03,192.38,175.82,225.48,181.6,below_sma,13,-5.6,8.6,False
HPE,2025-01-06,22.11,19.65,27.03,20.76,below_sma,14,-6.08,11.12,False
HWM,2026-01-05,212.8,194.58,249.23,213.37,timeout,20,0.27,8.56,True
HUBB,2025-09-10,439.67,409.9,499.22,417.91,below_sma,11,-4.95,6.77,False
IBM,2025-03-07,255.2,223.3,318.99,238.08,below_sma,15,-6.71,12.5,False
IBM,2025-05-30,254.46,234.4,294.58,289.54,timeout,20,13.79,7.88,True
IBM,2025-10-22,284.31,250.62,351.7,286.89,timeout,20,0.91,11.85,True
IBM,2025-12-29,304.01,292.77,326.47,294.53,below_sma,2,-3.12,3.7,False
IBKR,2025-02-28,50.84,46.99,58.54,46.99,stop,2,-7.58,7.58,False
IBKR,2025-09-29,68.64,60.69,84.54,69.33,timeout,20,1.0,11.58,True
IBKR,2025-11-03,72.91,62.64,93.45,65.88,below_sma,9,-9.65,14.09,False
IFF,2026-04-08,73.77,70.28,80.74,72.52,below_sma,2,-1.69,4.72,False
